Insertion Index,List,Array
0,0.000000,0.000000
1,0.000005,0.000485
2,0.000002,0.000293
3,0.000003,0.000244
4,0.000004,0.000230
5,0.000003,0.000226
6,0.000005,0.000235
7,0.000004,0.000232
8,0.000006,0.000229
9,0.000005,0.000238
10,0.000005,0.000219
11,0.000007,0.000219
12,0.000007,0.000219
13,0.000007,0.000234
14,0.000008,0.000225
15,0.000008,0.000243
16,0.000009,0.000217
17,0.000008,0.000218
18,0.000010,0.000251
19,0.000009,0.000220
20,0.000010,0.000220
21,0.000010,0.000216
22,0.000010,0.000215
23,0.000015,0.000221
24,0.000012,0.000250
25,0.000010,0.000219
26,0.000014,0.000222
27,0.000064,0.000217
28,0.000014,0.000218
29,0.000015,0.000215
30,0.000018,0.000224
31,0.000014,0.000256
32,0.000014,0.000211
33,0.000015,0.000215
34,0.000080,0.000214
35,0.000018,0.000249
36,0.000016,0.000254
37,0.000017,0.000215
38,0.000017,0.000212
39,0.000016,0.000238
40,0.000018,0.000213
41,0.000017,0.000271
42,0.000022,0.000217
43,0.000018,0.000211
44,0.000019,0.000213
45,0.000022,0.000210
46,0.000022,0.000226
47,0.000022,0.000211
48,0.000020,0.000215
49,0.000021,0.000242
50,0.000019,0.000205
51,0.000026,0.000210
52,0.000023,0.000210
53,0.000018,0.000238
54,0.000025,0.000212
55,0.000022,0.000215
56,0.000025,0.000216
57,0.000025,0.000209
58,0.000026,0.000208
59,0.000025,0.000231
60,0.000024,0.000211
61,0.000028,0.000207
62,0.000025,0.000207
63,0.000029,0.000235
64,0.000024,0.000235
65,0.000028,0.000207
66,0.000027,0.000206
67,0.000027,0.000210
68,0.000030,0.000212
69,0.000028,0.000205
70,0.000037,0.000205
71,0.000029,0.000217
72,0.000031,0.000296
73,0.000030,0.000205
74,0.000030,0.000207
75,0.000033,0.000211
76,0.000029,0.000211
77,0.000038,0.000204
78,0.000033,0.000205
79,0.000042,0.000204
80,0.000033,0.000212
81,0.000070,0.000213
82,0.000034,0.000202
83,0.000032,0.000205
84,0.000034,0.000202
85,0.000031,0.000202
86,0.000042,0.000215
87,0.000036,0.000209
88,0.000037,0.000213
89,0.000039,0.000209
90,0.000140,0.000206
91,0.000039,0.000240
92,0.000035,0.000201
93,0.000040,0.000225
94,0.000038,0.000200
95,0.000035,0.000201
96,0.000042,0.000199
97,0.000034,0.000194
98,0.000089,0.000194
99,0.000042,0.000193
100,0.000127,0.000206
101,0.000041,0.000200
102,0.000037,0.000204
103,0.000042,0.000199
104,0.000109,0.000192
105,0.000047,0.000204
106,0.000042,0.000187
107,0.000038,0.000203
108,0.000044,0.000192
109,0.000042,0.000190
110,0.000045,0.000192
111,0.000043,0.000191
112,0.000041,0.000192
113,0.000051,0.000190
114,0.000041,0.000190
115,0.000049,0.000200
116,0.000053,0.000189
117,0.000041,0.000187
118,0.000054,0.000216
119,0.000044,0.000189
120,0.000110,0.000204
121,0.000045,0.000196
122,0.000042,0.000192
123,0.000052,0.000193
124,0.000045,0.000188
125,0.000051,0.000229
126,0.000045,0.000225
127,0.000070,0.000203
128,0.000051,0.000191
129,0.000047,0.000191
130,0.000059,0.000187
131,0.000060,0.000258
132,0.000063,0.000259
133,0.000062,0.000259
134,0.000062,0.000253
135,0.000059,0.000259
136,0.000101,0.000198
137,0.000074,0.000197
138,0.000065,0.000197
139,0.000058,0.000215
140,0.000069,0.000255
141,0.000059,0.000189
142,0.000050,0.000191
143,0.000061,0.000190
144,0.000054,0.000189
145,0.000111,0.000246
146,0.000056,0.000193
147,0.000072,0.000212
148,0.000057,0.000188
149,0.000055,0.000182
150,0.000059,0.000194
151,0.000051,0.000182
152,0.000068,0.000188
153,0.000054,0.000183
154,0.000055,0.000211
155,0.000059,0.000182
156,0.000056,0.000246
157,0.000067,0.000182
158,0.000073,0.000171
159,0.000062,0.000180
160,0.000057,0.000176
161,0.000074,0.000180
162,0.000055,0.000171
163,0.000053,0.000184
164,0.000062,0.000180
165,0.000057,0.000169
166,0.000068,0.000229
167,0.000067,0.000174
168,0.000071,0.000239
169,0.000058,0.000175
170,0.000062,0.000181
171,0.000065,0.000173
172,0.000059,0.000189
173,0.000073,0.000172
174,0.000064,0.000173
175,0.000058,0.000188
176,0.000070,0.000172
177,0.000063,0.000172
178,0.000078,0.000171
179,0.000059,0.000173
180,0.000070,0.000193
181,0.000069,0.000176
182,0.000061,0.000175
183,0.000079,0.000203
184,0.000061,0.000161
185,0.000072,0.000166
186,0.000059,0.000161
187,0.000084,0.000215
188,0.000068,0.000217
189,0.000103,0.000209
190,0.000067,0.000175
191,0.000063,0.000203
192,0.000078,0.000165
193,0.000149,0.000166
194,0.000077,0.000175
195,0.000064,0.000206
196,0.000087,0.000163
197,0.000064,0.000201
198,0.000097,0.000211
199,0.000076,0.000163
200,0.000069,0.000204
201,0.000073,0.000175
202,0.000068,0.000208
203,0.000083,0.000159
204,0.000069,0.000167
205,0.000091,0.000161
206,0.000068,0.000156
207,0.000079,0.000161
208,0.000069,0.000201
209,0.000066,0.000157
210,0.000098,0.000161
211,0.000077,0.000156
212,0.000086,0.000165
213,0.000072,0.000216
214,0.000093,0.000160
215,0.000079,0.000175
216,0.000074,0.000155
217,0.000100,0.000163
218,0.000071,0.000155
219,0.000068,0.000155
220,0.000082,0.000154
221,0.000074,0.000155
222,0.000092,0.000162
223,0.000080,0.000171
224,0.000071,0.000214
225,0.000080,0.000157
226,0.000114,0.000199
227,0.000088,0.000153
228,0.000239,0.000244
229,0.000090,0.000161
230,0.000075,0.000162
231,0.000073,0.000213
232,0.000083,0.000157
233,0.000076,0.000175
234,0.000091,0.000168
235,0.000080,0.000184
236,0.000101,0.000151
237,0.000075,0.000223
238,0.000097,0.000196
239,0.000095,0.000180
240,0.000080,0.000188
241,0.000103,0.000150
242,0.000080,0.000149
243,0.000108,0.000154
244,0.000087,0.000157
245,0.000078,0.000151
246,0.000091,0.000160
247,0.000078,0.000173
248,0.000150,0.000157
249,0.000081,0.000153
250,0.000081,0.000166
251,0.000099,0.000162
252,0.000084,0.000152
253,0.000117,0.000170
254,0.000084,0.000156
255,0.000117,0.000148
256,0.000116,0.000158
257,0.000079,0.000231
258,0.000128,0.000151
259,0.000094,0.000155
260,0.000087,0.000183
261,0.000136,0.000162
262,0.000087,0.000195
263,0.000131,0.000156
264,0.000095,0.000154
265,0.000230,0.000165
266,0.000108,0.000159
267,0.000089,0.000155
268,0.000088,0.000146
269,0.000100,0.000156
270,0.000088,0.000152
271,0.000113,0.000204
272,0.000093,0.000152
273,0.000091,0.000195
274,0.000139,0.000152
275,0.000086,0.000147
276,0.000116,0.000179
277,0.000093,0.000147
278,0.000094,0.000154
279,0.000103,0.000150
280,0.000092,0.000148
281,0.000091,0.000163
282,0.000103,0.000151
283,0.000113,0.000142
284,0.000125,0.000161
285,0.000106,0.000170
286,0.000141,0.000151
287,0.000101,0.000150
288,0.000098,0.000149
289,0.000112,0.000153
290,0.000096,0.000177
291,0.000108,0.000166
292,0.000106,0.000149
293,0.000098,0.000169
294,0.000120,0.000213
295,0.000146,0.000212
296,0.000135,0.000218
297,0.000131,0.000218
298,0.000139,0.000156
299,0.000115,0.000230
300,0.000145,0.000183
301,0.000129,0.000161
302,0.000116,0.000155
303,0.000117,0.000155
304,0.000104,0.000155
305,0.000102,0.000197
306,0.000110,0.000144
307,0.000125,0.000141
308,0.000120,0.000148
309,0.000102,0.000152
310,0.000125,0.000182
311,0.000115,0.000140
312,0.000127,0.000141
313,0.000109,0.000162
314,0.000115,0.000148
315,0.000121,0.000153
316,0.000103,0.000139
317,0.000123,0.000139
318,0.000109,0.000139
319,0.000105,0.000149
320,0.000121,0.000138
321,0.000108,0.000145
322,0.000101,0.000185
323,0.000114,0.000146
324,0.000113,0.000134
325,0.000129,0.000145
326,0.000105,0.000146
327,0.000123,0.000183
328,0.000111,0.000137
329,0.000121,0.000154
330,0.000132,0.000136
331,0.000107,0.000136
332,0.000110,0.000139
333,0.000117,0.000135
334,0.000119,0.000131
335,0.000153,0.000135
336,0.000110,0.000138
337,0.000106,0.000172
338,0.000127,0.000134
339,0.000118,0.000131
340,0.000161,0.000132
341,0.000119,0.000134
342,0.000114,0.000140
343,0.000127,0.000134
344,0.000118,0.000130
345,0.000115,0.000149
346,0.000124,0.000133
347,0.000111,0.000129
348,0.000134,0.000161
349,0.000116,0.000139
350,0.000111,0.000191
351,0.000125,0.000144
352,0.000114,0.000128
353,0.000145,0.000176
354,0.000114,0.000131
355,0.000113,0.000196
356,0.000133,0.000131
357,0.000114,0.000128
358,0.000118,0.000135
359,0.000132,0.000130
360,0.000130,0.000127
361,0.000134,0.000131
362,0.000122,0.000133
363,0.000112,0.000130
364,0.000129,0.000129
365,0.000118,0.000126
366,0.000163,0.000130
367,0.000149,0.000140
368,0.000134,0.000145
369,0.000142,0.000136
370,0.000143,0.000131
371,0.000258,0.000142
372,0.000121,0.000141
373,0.000116,0.000128
374,0.000136,0.000141
375,0.000130,0.000127
376,0.000145,0.000127
377,0.000137,0.000126
378,0.000121,0.000164
379,0.000148,0.000127
380,0.000125,0.000122
381,0.000115,0.000123
382,0.000134,0.000125
383,0.000140,0.000122
384,0.000142,0.000140
385,0.000124,0.000121
386,0.000129,0.000122
387,0.000150,0.000125
388,0.000123,0.000121
389,0.000151,0.000152
390,0.000135,0.000124
391,0.000127,0.000171
392,0.000136,0.000124
393,0.000135,0.000127
394,0.000169,0.000134
395,0.000128,0.000138
